LCLid,Acorn,cluster_id
MAC000619,ACORN-D,2
MAC000620,ACORN-J,2
MAC000621,ACORN-K,1
MAC000622,ACORN-Q,1
MAC000623,ACORN-K,1
MAC000624,ACORN-E,2
MAC000625,ACORN-E,0
MAC000626,ACORN-O,1
MAC000627,ACORN-Q,1
MAC000628,ACORN-E,0
MAC000629,ACORN-L,1
MAC000630,ACORN-C,0
MAC000631,ACORN-E,2
MAC000632,ACORN-D,2
MAC000633,ACORN-E,2
MAC000634,ACORN-F,2
MAC000635,ACORN-Q,1
MAC000636,ACORN-E,2
MAC000637,ACORN-E,2
MAC000638,ACORN-H,2
MAC000639,ACORN-E,2
MAC000640,ACORN-E,2
MAC000641,ACORN-Q,0
MAC000642,ACORN-F,0
MAC000643,ACORN-F,2
MAC000644,ACORN-L,1
MAC000645,ACORN-P,1
MAC000646,ACORN-E,2
MAC000647,ACORN-D,2
MAC000648,ACORN-F,2
MAC000649,ACORN-P,1
MAC000650,ACORN-F,0
MAC000651,ACORN-E,2
MAC000652,ACORN-E,2
MAC000653,ACORN-Q,1
MAC000654,ACORN-E,0
MAC000655,ACORN-F,2
MAC000656,ACORN-O,1
MAC000657,ACORN-Q,1
MAC000658,ACORN-L,1
MAC000659,ACORN-L,1
MAC000660,ACORN-K,1
MAC000661,ACORN-F,0
MAC000662,ACORN-L,1
MAC000663,ACORN-E,2
MAC000664,ACORN-K,0
MAC000665,ACORN-E,2
MAC000666,ACORN-E,2
MAC000667,ACORN-M,1
MAC000668,ACORN-J,0
MAC000669,ACORN-E,2
MAC000670,ACORN-L,1
MAC000671,ACORN-F,2
MAC000672,ACORN-E,2
MAC000673,ACORN-E,0
MAC000674,ACORN-M,1
MAC000675,ACORN-F,2
MAC000676,ACORN-F,2
MAC000677,ACORN-E,2
MAC000678,ACORN-F,2
MAC000679,ACORN-E,2
MAC000680,ACORN-L,1
MAC000681,ACORN-E,0
MAC000682,ACORN-H,0
MAC000683,ACORN-Q,1
MAC000684,ACORN-Q,1
MAC000685,ACORN-H,2
